pcode1,punishlev,take20,dictatorallocation
"C187719",,0,-20
"C187719",4,0,35
"C187719",3,0,5
"C187719",3,0,30
"C187719",5,0,40
"C187719",,0,-10
"C187719",5,0,20
"C187719",1,0,25
"C187719",,0,-15
"C187719",,0,-5
"C190328",0,0,35
"C190328",,0,-20
"C190328",0,0,10
"C190328",5,0,15
"C190328",,0,-5
"C190328",0,0,25
"C190328",,0,-15
"C190328",30,0,0
"C190328",0,0,30
"C190328",,0,-10
"C190328",10,0,5
"C190328",0,0,40
"C190328",0,0,20
"C191220",30,0,0
"C191220",5,0,35
"C191220",0,0,40
"C191220",,0,-10
"C191220",,0,-20
"C191220",18,0,10
"C191220",20,0,5
"C191220",,0,-15
"C191220",8,0,25
"C191220",15,0,15
"C191220",6,0,30
"C191220",,0,-5
"C191220",10,0,20
"C191319",0,0,40
"C191319",1,0,20
"C191319",,0,-10
"C191319",1,0,35
"C191319",,0,-5
"C191319",5,0,10
"C191319",1,0,25
"C191319",,0,-15
"C191319",1,0,15
"C191319",10,0,0
"C191319",1,0,30
"C191319",,0,-20
"C191319",5,0,5
"C201018",,0,-20
"C201018",0,0,40
"C201018",5,0,5
"C201018",0,0,0
"C201018",5,0,15
"C201018",0,0,30
"C201018",,0,-10
"C201018",0,0,35
"C201018",,0,-5
"C201018",,0,-15
"C201018",0,0,10
"C201018",0,0,25
"C201018",10,0,20
"C221309",0,0,35
"C221309",0,0,30
"C221309",,0,-5
"C221309",0,0,15
"C221309",,0,-10
"C221309",0,0,10
"C221309",0,0,25
"C221309",,0,-15
"C221309",0,0,20
"C221309",,0,-20
"C221309",0,0,0
"C221309",0,0,5
"C221309",0,0,40
"C226621",7,1,-15
"C226621",5,1,-10
"C226621",5,1,0
"C226621",4,1,20
"C226621",0,1,40
"C226621",1,1,35
"C226621",2,1,30
"C226621",5,1,15
"C226621",3,1,25
"C226621",5,1,-5
"C226621",10,1,-20
"C226621",5,1,10
"C226621",5,1,5
"C258116",1,0,5
"C258116",2,0,0
"C258116",,0,-10
"C258116",0,0,15
"C258116",0,0,40
"C258116",0,0,30
"C258116",0,0,20
"C258116",,0,-20
"C258116",,0,-5
"C258116",0,0,10
"C258116",,0,-15
"C258116",0,0,35
"C258116",0,0,25
"C275326",,0,-10
"C275326",5,0,10
"C275326",,0,-15
"C275326",7,0,25
"C275326",1,0,5
"C275326",5,0,20
"C275326",,0,-20
"C275326",,0,-5
"C275326",0,0,40
"C275326",7,0,30
"C275326",0,0,0
"C275326",5,0,15
"C275326",5,0,35
"C286112",7,0,20
"C286112",,0,-20
"C286112",11,0,10
"C286112",15,0,0
"C286112",9,0,15
"C286112",0,0,30
"C286112",,0,-15
"C286112",,0,-10
"C286112",5,0,25
"C286112",,0,-5
"C286112",0,0,40
"C286112",13,0,5
"C286112",0,0,35
"C306023",0,0,35
"C306023",0,0,25
"C306023",0,0,30
"C306023",0,0,0
"C306023",,0,-10
"C306023",0,0,20
"C306023",,0,-20
"C306023",0,0,40
"C306023",0,0,10
"C306023",0,0,15
"C306023",,0,-5
"C306023",0,0,5
"C306023",,0,-15
"C312618",,0,-10
"C312618",0,0,0
"C312618",0,0,10
"C312618",0,0,20
"C312618",,0,-5
"C312618",0,0,15
"C312618",0,0,30
"C312618",0,0,40
"C312618",0,0,25
"C312618",,0,-20
"C312618",0,0,35
"C312618",,0,-15
"C312618",0,0,5
"C313624",7,1,35
"C313624",0,1,0
"C313624",5,1,25
"C313624",4,1,20
"C313624",2,1,-5
"C313624",3,1,15
"C313624",1,1,5
"C313624",2,1,10
"C313624",6,1,30
"C313624",6,1,-15
"C313624",8,1,40
"C313624",4,1,-10
"C313624",8,1,-20
"C372143",0,1,0
"C372143",0,1,25
"C372143",0,1,-20
"C372143",0,1,40
"C372143",0,1,10
"C372143",0,1,30
"C372143",0,1,-5
"C372143",0,1,5
"C372143",0,1,35
"C372143",0,1,15
"C372143",0,1,-10
"C372143",0,1,20
"C372143",0,1,-15
"C376947",0,1,0
"C376947",0,1,40
"C376947",0,1,5
"C376947",0,1,25
"C376947",0,1,-20
"C376947",0,1,-10
"C376947",0,1,35
"C376947",0,1,15
"C376947",0,1,30
"C376947",0,1,-15
"C376947",0,1,10
"C376947",0,1,20
"C376947",0,1,-5
"C382108",0,1,15
"C382108",0,1,20
"C382108",0,1,35
"C382108",0,1,10
"C382108",0,1,40
"C382108",0,1,30
"C382108",0,1,-15
"C382108",0,1,25
"C382108",0,1,-10
"C382108",0,1,-5
"C382108",0,1,0
"C382108",0,1,-20
"C382108",0,1,5
"C392930",0,0,35
"C392930",0,0,30
"C392930",0,0,0
"C392930",0,0,20
"C392930",0,0,15
"C392930",,0,-20
"C392930",,0,-5
"C392930",0,0,25
"C392930",,0,-15
"C392930",0,0,40
"C392930",0,0,5
"C392930",0,0,10
"C392930",,0,-10
"C397114",,0,-15
"C397114",0,0,0
"C397114",0,0,20
"C397114",0,0,10
"C397114",0,0,15
"C397114",0,0,5
"C397114",0,0,30
"C397114",0,0,40
"C397114",,0,-20
"C397114",,0,-5
"C397114",,0,-10
"C397114",0,0,35
"C397114",0,0,25
"C402321",0,0,30
"C402321",0,0,40
"C402321",0,0,25
"C402321",5,0,20
"C402321",10,0,0
"C402321",0,0,10
"C402321",,0,-15
"C402321",,0,-10
"C402321",0,0,5
"C402321",0,0,35
"C402321",,0,-20
"C402321",5,0,15
"C402321",,0,-5
"C426313",0,1,-15
"C426313",0,1,10
"C426313",0,1,-10
"C426313",0,1,40
"C426313",0,1,30
"C426313",0,1,-5
"C426313",0,1,20
"C426313",0,1,35
"C426313",0,1,25
"C426313",0,1,-20
"C426313",0,1,0
"C426313",0,1,15
"C426313",0,1,5
"C431631",3,0,25
"C431631",4,0,35
"C431631",3,0,15
"C431631",,0,-5
"C431631",,0,-20
